Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,components_3d_0,components_3d_1,components_3d_2,components_3d_3,components_3d_4,Price
14038,35,2.0,47.981561235175036,29.44275054713416,6.0,7,9.0,1969,0.089039719,1,1,33,7976,5,0,11,1,0,0,0,0,1,184966.9307298416
15053,41,3.0,65.68363987232783,40.04954252356546,8.0,7,9.0,1978,6.99893e-05,1,1,46,10309,1,1,16,1,0,0,0,1,0,300009.4500627274
4765,53,2.0,44.947952764125006,29.1976116880482,0.0,8,12.0,1968,0.049637257,1,1,34,7759,0,1,3,1,0,0,0,0,1,220925.90852358093
5809,58,2.0,53.352981355613345,52.73151204863503,9.0,8,17.0,1977,0.43788524,1,1,23,5735,3,0,5,1,1,0,0,0,0,175616.22721724625
10783,99,1.0,39.649191950029994,23.7761691108976,7.0,11,12.0,1976,0.012338886,1,1,35,5776,1,2,4,1,1,0,0,0,0,150226.5316437466
12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5,17.0,2011,0.309479124,1,1,35,7715,4,0,6,1,0,0,0,0,1,215898.44774214894
14549,154,2.0,62.254113586402504,37.16037741888674,7.0,3,5.0,1960,0.460556389,1,1,20,4386,14,1,5,1,1,0,0,0,0,296021.2043771131
11993,74,2.0,80.31292563185586,50.53720691207421,0.0,14,0.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,1,0,0,221244.15666358554
5172,1,2.0,64.51143730838427,45.348215750486375,1.0,9,17.0,1977,0.007122317,1,1,1,264,0,0,1,1,0,0,1,0,0,229102.7959994131
8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13,17.0,2014,0.075778755,1,1,6,1437,3,0,2,1,0,0,1,0,0,95380.22099316985
15370,28,2.0,46.30490677332586,27.922584447134266,6.0,8,9.0,1973,0.118537385,1,1,30,6207,1,1,0,1,0,0,0,0,1,204243.55312879704
12427,31,3.0,68.80885909839964,45.736905639421956,7.0,1,8.0,1959,0.0,1,1,23,3684,2,0,4,1,1,0,0,0,0,165534.5414246522
6452,13,2.0,54.5228049029371,31.75975305618809,1.0,8,12.0,1999,0.090799103,1,1,74,19083,2,5,15,1,0,1,0,0,0,229220.37260914012
2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6,12.0,1980,0.13321533300000002,1,1,49,11395,3,3,4,0,0,0,0,1,0,252481.9083226248
10953,27,1.0,53.769097136525275,52.40802696611313,1.0,5,4.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,0,1,0,0,140647.56593684404
2823,85,3.0,73.6122247317727,53.89208948435271,6.0,4,9.0,1979,0.037177818,1,1,52,11217,1,1,7,1,0,0,0,1,0,89084.32787608178
2119,27,2.0,49.36064780032354,31.993963547007414,5.0,6,5.0,1983,0.051815435,1,1,5,1227,0,0,0,1,0,0,1,0,0,117000.38128669599
3000,34,2.0,57.969964222530145,32.01248263525128,9.0,6,14.0,2001,0.069753361,1,1,53,13670,4,1,11,1,0,1,0,0,0,231828.43766693235
2829,57,1.0,44.51348081256669,23.113423134573804,8.0,6,12.0,1983,0.13321533300000002,1,1,49,11395,3,3,4,0,0,0,0,1,0,183743.23046424173
4909,19,3.0,110.95979224728356,56.996764901321505,11.0,16,25.0,2012,0.000991363,1,1,33,6783,3,1,9,1,0,0,0,0,1,394895.32598680095
8862,0,3.0,103.60529197422831,47.799426262469524,10.0,12,17.0,2002,0.319809354,1,1,25,4756,16,5,8,1,1,0,0,0,0,521919.0573998705
11935,27,2.0,64.71183493873933,45.348215750486375,1.0,15,1.0,1977,0.211401214,1,1,9,1892,0,0,1,1,0,0,1,0,0,127200.02651097006
11852,48,1.0,41.668649656506325,20.207761889892915,10.0,19,22.0,1996,0.041124634,1,1,46,9515,5,1,10,1,0,0,0,1,0,215083.96905610108
6641,54,3.0,118.90761184257369,91.21630553930869,0.0,2,0.0,1977,0.006076152,1,1,30,5285,0,6,6,1,1,0,0,0,0,571069.0526003882
7704,150,3.0,62.180535989371776,44.169694075407364,5.0,4,5.0,1964,0.020741326,1,1,24,5613,5,2,5,1,1,0,0,0,0,241718.0995266293
5073,74,2.0,82.66791473448255,60.912515124157416,1.0,16,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,1,0,0,244145.8270685723
4378,27,3.0,106.95887123511149,0.6418221077821484,0.0,17,0.0,2018,0.072157581,1,1,2,629,1,0,0,0,0,0,1,0,0,337299.86793644377
7550,23,2.0,64.55620925344805,45.348215750486375,1.0,8,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,1,0,0,173910.92372317292
8054,23,1.0,42.53004325868857,26.994528118147574,1.0,3,9.0,2014,0.034656082000000005,1,1,0,168,0,0,0,1,0,0,1,0,0,95338.19854860756
522,11,2.0,48.37223191245333,31.00758147862463,6.0,4,9.0,1972,0.00016967599999999998,1,1,36,5992,0,1,1,1,0,0,0,0,1,213374.16640304858
89,50,2.0,39.43535081853332,23.37768698871145,7.0,9,9.0,1965,0.007658515,1,1,35,7077,56,3,19,1,0,0,0,0,1,283877.6171417454
4785,61,1.0,41.7651555000357,19.343185677164602,9.0,12,16.0,1984,0.300322518,1,1,52,10311,6,1,9,1,0,0,0,1,0,189007.23894421052
13253,27,2.0,63.679115983087094,37.275774657400376,1.0,9,15.0,1977,0.017647053,1,1,2,469,0,0,0,1,0,0,1,0,0,178721.70633739038
13905,44,1.0,34.7672268816687,18.209648101536544,6.0,7,9.0,1972,0.036122292,1,1,24,4378,0,1,1,1,1,0,0,0,0,154928.80993818038
8384,90,2.0,42.17678220950818,28.085689937853193,5.0,2,5.0,1965,0.265088676,1,1,37,5288,0,3,2,1,1,0,0,0,0,176344.82040566398
6486,200,3.0,85.28038875664878,58.447967179062545,9.0,6,5.0,1960,0.0,1,1,33,7425,1,2,5,1,0,0,0,0,1,402871.91631724115
11703,23,1.0,41.11876598003856,25.607844932696633,1.0,4,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,1,0,0,103510.22360146276
14591,43,2.0,43.701661788670734,26.350358249023103,5.0,5,9.0,1961,0.015016892,1,1,17,3079,59,0,8,1,1,0,0,0,0,287056.01254272985
8224,177,3.0,77.8739361356098,48.99113289942049,12.0,9,25.0,2012,0.0,1,1,36,6714,2,0,2,1,0,0,0,0,1,191550.1213566216
9371,23,2.0,60.503248324677,41.23267137912478,0.0,16,0.0,1977,0.034656082000000005,1,1,0,168,0,0,0,1,0,0,1,0,0,229778.0579017187
10739,99,2.0,45.257138805377025,32.61382570011897,5.0,4,5.0,1971,0.033493708,1,1,66,10573,1,3,8,1,0,0,0,1,0,171266.94942738526
1853,101,3.0,58.4198155580721,37.27561392063118,5.0,5,5.0,1963,0.225824954,0,1,41,6558,7,3,2,1,0,0,0,0,1,197456.9208142761
9833,1,2.0,56.49431782042168,54.72356903322895,0.0,9,17.0,1977,0.007122317,1,1,1,264,0,0,1,1,0,0,1,0,0,196078.90728935658
175,23,2.0,58.692132931238426,41.23267137912478,1.0,16,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,1,0,0,184501.01122512695
10521,38,3.0,104.21139562017449,67.73740715311342,0.0,20,0.0,2017,0.060753049,1,1,15,2787,2,0,7,1,0,0,1,0,0,435462.0480700058
7008,21,2.0,48.85174210675611,33.533432105863035,5.0,5,5.0,1970,0.194489265,1,1,47,8004,3,3,5,1,0,0,0,0,1,183826.31652243072
1821,23,2.0,49.929488622133064,32.71129105343143,1.0,9,12.0,1977,0.034656082000000005,1,1,0,168,0,0,0,1,0,0,1,0,0,88464.4253950588
14292,103,1.0,41.53813827372754,23.292934580888872,8.0,7,16.0,1981,0.014423114,1,1,19,3806,4,0,3,1,1,0,0,0,0,234052.26552661308
7596,23,1.0,47.080100247481404,46.80798919400547,12.0,3,9.0,1977,0.014072961,1,1,2,475,0,0,0,1,0,0,1,0,0,96029.16787733519
13393,98,1.0,41.27061351984075,20.45594534035546,7.0,8,14.0,2003,0.195781053,1,1,23,5212,6,3,2,1,1,0,0,0,0,214733.34225833853
2221,170,1.0,35.390235379659565,21.675589451961883,5.0,3,5.0,1963,0.21843974,1,1,21,4472,6,4,7,0,1,0,0,0,0,172795.8670771811
10103,94,1.0,35.28089402875877,23.35417623467495,6.0,11,9.0,1971,0.282797669,1,1,33,8667,2,0,6,1,0,0,0,0,1,148862.21017433386
2301,1,2.0,61.40005437465901,39.91003534352836,0.0,17,22.0,2016,0.007122317,1,1,1,264,0,0,1,1,0,0,1,0,0,199215.45222932714
6455,44,1.0,31.89348347603991,20.94667055523254,7.0,3,14.0,1973,0.175054867,1,1,36,10055,3,1,0,1,0,0,0,1,0,182946.36203104112
16334,1,1.0,42.41417613853096,25.607844932696633,1.0,14,17.0,1977,0.007122317,1,1,1,264,0,0,1,1,0,0,1,0,0,156476.61434830475
3963,48,3.0,60.49673620327934,38.701932866274475,6.0,4,9.0,1980,0.041124634,1,1,46,9515,5,1,10,1,0,0,0,1,0,276349.9122838608
10065,5,2.0,54.477432041659135,31.149444195768496,7.0,14,22.0,1991,0.150817539,1,1,16,3433,4,4,5,1,1,0,0,0,0,279119.9134223016
3203,23,2.0,56.21870163187176,35.660854177860514,1.0,3,3.0,1977,0.005767451,1,1,1,388,0,0,0,1,0,0,1,0,0,90303.66568299793
1982,28,1.0,38.007936217693626,23.281713820168363,9.0,1,12.0,1970,0.118537385,1,1,30,6207,1,1,0,1,0,0,0,0,1,147636.76035604483
12393,11,2.0,57.322494472127154,31.78800632302188,10.0,5,16.0,1980,0.00016967599999999998,1,1,36,5992,0,1,1,1,0,0,0,0,1,242402.234569005
16601,88,2.0,47.31752643089487,31.100516771763807,6.0,6,12.0,1975,0.127375905,1,1,43,8429,3,3,9,1,0,0,0,0,1,207641.6759898469
